ligne_source,fournisseur_colonne_A,dlc_ddm,produit,pu_ht,multiple_de_commande,tva,note_fournisseur
96,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Pâté de foie aux pommes calva 90 grs,2.6,6/,0.055,
97,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Rillettes du Cotentin 90 grs,2.6,6/,0.055,
98,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Rillettes de poulet au poivre vert 90 grs,2.6,6/,0.055,
99,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Rillettes de poulet citron confit 90 grs,2.6,6/,0.055,
100,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Rilletes de poulet au piment d'Espelette 90 grs,2.6,6/,0.055,
101,PÈRE ROUPSARD TRAITEUR 90 Gr,36 MOIS,Rillettes de canard au foie gras 90 grs,2.88,6/,0.055,
102,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Boudin campagnard aux pommes 180 grs,3.55,6/,0.055,
103,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Pâté de foie aux pommes calva 180 grs,3.98,6/,0.055,
104,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Terrine de campagne 180 grs,3.98,6/,0.055,
105,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Rillettes de porc fumé 180 grs,3.98,6/,0.055,
106,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Rillettes de porc à l'anciènne 180 grs,3.98,6/,0.055,
107,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Rillettes du Cotentin 180 grs,3.98,6/,0.055,
108,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Terrine de canard aux pommes 180 grs,3.98,6/,0.055,
109,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Terrine de lapin au pommeau 180 grs,3.98,6/,0.055,
110,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Terrine porc livarot 180 grs,3.98,6/,0.055,
111,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Terrine porc camembert 180 grs,3.98,6/,0.055,
112,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Terrine campagne au cidre 180 grs,3.98,6/,0.055,
113,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Terrine campagne pomme foie gras 180 g,3.98,6/,0.055,
114,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Terrine de lièvre au Calvados 180 grs,3.98,6/,0.055,
115,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Terrine de faisan au Calvados 180 grs,3.98,6/,0.055,
116,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Terrine pomme porc andouille 180 grs,3.98,6/,0.055,
117,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Rillettes de poulet citron confit 180 grs,3.98,6/,0.055,
118,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Rillettes de poulet piment d'Espelette 180 grs,3.98,6/,0.055,
119,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Rillettes de poulet poivre vert 180 grs,3.98,6/,0.055,
120,PÈRE ROUPSARD TRAITEUR 180 Gr,36 MOIS,Rillettes de canard au foie gras 180 grs,3.98,6/,0.055,
121,PÈRE ROUPSARD TRAITEUR,24 MOIS,Foie gras de canard pot le parfait 120 grs,14.65,6/,0.055,
122,PÈRE ROUPSARD TRAITEUR,24 MOIS,Foie gras de canard pot le parfait 180 grs,20.6,6/,0.055,
123,PÈRE ROUPSARD LES MIJOTES,36 MOIS,Sauté de porc forestier 400grs,5.42,9/,0.055,
124,PÈRE ROUPSARD LES MIJOTES,36 MOIS,Boeuf au cidre 400 grs,5.42,9/,0.055,
125,PÈRE ROUPSARD LES MIJOTES,36 MOIS,Blanquette de veau 400 grs,5.42,9/,0.055,
126,PÈRE ROUPSARD LES MIJOTES,36 MOIS,Veau aux chaloignons des bois 400grs,5.42,9/,0.055,
127,PÈRE ROUPSARD LES MIJOTES,36 MOIS,Tripes au cidre 400 grs,5.42,9/,0.055,
128,PÈRE ROUPSARD LES MIJOTES,36 MOIS,Poulet valée d'Auge 400 grs,5.42,9/,0.055,
129,PÈRE ROUPSARD LES MIJOTES,36 MOIS,Sauté de porc au caramel de porc 400 grs,5.42,9/,0.055,
130,PÈRE ROUPSARD LES MIJOTES,36 MOIS,Chili con carne de porc 400 grs,5.42,9/,0.055,
131,PÈRE ROUPSARD LES MIJOTES,36 MOIS,Paupiettes de porc forestières 400 grs,5.42,9/,0.055,
132,PÈRE ROUPSARD LES MIJOTES,36 MOIS,Blanquette de la mer au petits légumes 400 grs,5.42,9/,0.055,
133,PÈRE ROUPSARD TRAITEUR,36 MOIS,Soupe de poisson 1 litre,3.4,6/,0.055,
134,PÈRE ROUPSARD TRAITEUR,36 MOIS,Soupe de poisson 50 cl,2.05,9/,0.055,
135,PÈRE ROUPSARD TRAITEUR,36 MOIS,Velouté de homard 1 litre,5.95,6/,0.055,
136,PÈRE ROUPSARD TRAITEUR,36 MOIS,Velouté de homard 50 cl,3.68,9/,0.055,
137,PÈRE ROUPSARD TRAITEUR,36 MOIS,Soupe d'étrilles 1 litre,4.05,6/,0.055,
138,PÈRE ROUPSARD TRAITEUR,36 MOIS,Soupe d'étrilles 50 cl,2.31,9/,0.055,
139,PÈRE ROUPSARD TRAITEUR,36 MOIS,Soupe de langoustines 1 litre,4.05,6/,0.055,
140,PÈRE ROUPSARD TRAITEUR,36 MOIS,Soupe de langoustines 50 cl,2.31,9/,0.055,
141,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Thon ail et fines herbes 90 g,3.25,6/,0.055,
142,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Deux saumon et basilic 90 g  NOUVEAU,3.25,6/,0.055,
143,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,St jacques éclats de porc fumés 90 grs,3.25,6/,0.055,
144,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,St jacques algues 90 grs,3.25,6/,0.055,
145,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,St jacques chorizo 90 grs,3.25,6/,0.055,
146,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Sardine piment d'Espelette 90 grs,3.25,6/,0.055,
147,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Rouget poireau 90 grs,3.25,6/,0.055,
