id_produit,nom_produit,tag,origine_du_tag,statut
PROD-0194,Rillettes noix de st jacques pomme miel 85 g,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0195,Rillettes de truite fumée au safran 90 g,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0196,Rillettes saumon aux noix  St Jacques 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0197,Rillettes de truite noix de st jacques 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0198,Terrine de haddock 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0199,Terrine de truite fumée 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0200,Terrine saumon fumé 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0201,Rillettes saumon au miel et curry 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0202,Rillettes de hareng à la tomate 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0203,Rillettes maquereaux moutarde 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0204,Rillettes de sardine 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0205,Rillettes de sardine aux olives 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0206,Rillettes de saumon 90 grs/12,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0207,Rillettes de saumon à l'aneth fraîche 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0208,Rillettes de saumon au confit d'oignon 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
